,track id, genre,mood/theme---action,mood/theme---adventure,mood/theme---advertising,mood/theme---background,mood/theme---ballad,mood/theme---calm,mood/theme---children,mood/theme---christmas,mood/theme---commercial,mood/theme---cool,mood/theme---corporate,mood/theme---dark,mood/theme---deep,mood/theme---documentary,mood/theme---drama,mood/theme---dramatic,mood/theme---dream,mood/theme---emotional,mood/theme---energetic,mood/theme---epic,mood/theme---fast,mood/theme---film,mood/theme---fun,mood/theme---funny,mood/theme---game,mood/theme---groovy,mood/theme---happy,mood/theme---heavy,mood/theme---holiday,mood/theme---hopeful,mood/theme---inspiring,mood/theme---love,mood/theme---meditative,mood/theme---melancholic,mood/theme---melodic,mood/theme---motivational,mood/theme---movie,mood/theme---nature,mood/theme---party,mood/theme---positive,mood/theme---powerful,mood/theme---relaxing,mood/theme---retro,mood/theme---romantic,mood/theme---sad,mood/theme---sexy,mood/theme---slow,mood/theme---soft,mood/theme---soundscape,mood/theme---space,mood/theme---sport,mood/theme---summer,mood/theme---trailer,mood/theme---travel,mood/theme---upbeat,mood/theme---uplifting
0,1,classical,0.0023755052,0.009212586,0.01556567,0.019889835,0.023472546,0.02408023,0.0052856943,0.028980274,0.003171095,0.009005812,0.005299939,0.044091366,0.003593326,0.01650032,0.015518123,0.004319066,0.04482926,0.05521028,0.020501524,0.006541403,0.00061365584,0.037004102,0.005899603,0.0011954284,0.0057927887,0.0018193403,0.031378485,0.0003519818,0.0059656617,0.008894709,0.019717414,0.054580163,0.035793636,0.030820604,0.044872638,0.00840706,0.008704243,0.0074516837,0.0015351995,0.004584956,0.00070449826,0.09280815,0.0025479624,0.033209994,0.063060045,0.00073990424,0.025568292,0.022343116,0.016141806,0.01204632,0.0019524326,0.002077728,0.00057632796,0.004673934,0.002127553,0.010974416
0,2,classical,0.005638999,0.012651154,0.012792868,0.012797969,0.0033377316,0.01587753,0.0019549346,0.011216762,0.0026823056,0.008280878,0.004077199,0.043229904,0.0042927936,0.02045413,0.015480127,0.006831661,0.052580137,0.041155834,0.01954328,0.025893524,0.001079773,0.061588123,0.0022914524,0.00062982825,0.00395989,0.0009994846,0.010885778,0.0006124084,0.0012813093,0.00407668,0.01299676,0.017207308,0.02626524,0.011771861,0.03853266,0.006202765,0.013287697,0.0068573416,0.001385922,0.0016040374,0.0018621366,0.0821939,0.0033359793,0.025399508,0.023933608,0.00032856452,0.008246504,0.006879886,0.026790395,0.027411522,0.0018511869,0.0011363665,0.0016270857,0.0039261975,0.0010329762,0.0054369825
0,3,classical,0.009580881,0.010186279,0.011634808,0.011774031,0.0023941782,0.0036913655,0.0012246538,0.0058507314,0.005147458,0.007578407,0.0071475655,0.04393315,0.0028938637,0.0084663285,0.0037765023,0.0063795224,0.020729756,0.012688297,0.10473163,0.020028142,0.0032931233,0.028075911,0.009138141,0.002562228,0.009926469,0.00311383,0.0357135,0.0054720426,0.0012668045,0.0028603096,0.016561275,0.028355852,0.0049138297,0.0041892757,0.046631042,0.008948431,0.0065077865,0.0011725314,0.0060284766,0.006939752,0.0067541865,0.012848231,0.0063118013,0.010081198,0.010867427,0.0014464462,0.003500317,0.0020908883,0.01179686,0.0122269215,0.017146837,0.002806501,0.0016966211,0.002688713,0.0076083024,0.0121866455
0,4,classical,0.001264955,0.0056132535,0.013116457,0.02663988,0.005549054,0.013256699,0.0048657246,0.012068473,0.0031000755,0.0045880214,0.009058932,0.0074493415,0.0021895324,0.015005316,0.007316573,0.0018455944,0.021957545,0.03347104,0.010210404,0.0039705457,0.0001651936,0.021863135,0.0024481486,0.00052331557,0.00090810756,0.00042377203,0.0326394,7.044627e-05,0.0013876158,0.0056826673,0.0273756,0.018447638,0.0093343025,0.011388204,0.020807866,0.011664246,0.00404698,0.00536905,0.00039852317,0.00591575,0.0001633424,0.05591754,0.0005336428,0.027444556,0.01941534,0.00020645927,0.0010373619,0.013047627,0.0034500854,0.0030303062,0.0009868935,0.0008112276,0.0002317242,0.0021465428,0.0010027823,0.008989111
0,5,classical,0.0062482995,0.011197485,0.012325845,0.018697934,0.0062937927,0.012257943,0.0025093965,0.01108186,0.0030142542,0.0038696977,0.005588685,0.030039845,0.0009361111,0.01976901,0.017117772,0.00902395,0.027518062,0.062425062,0.010874596,0.026564337,0.00032527235,0.05718113,0.0016675029,0.00024087081,0.0012790632,0.0003621653,0.013578049,0.0002387383,0.0018005403,0.005239552,0.027144788,0.014609299,0.02152697,0.016994214,0.023925351,0.009899929,0.009472144,0.007529468,0.00043336308,0.0025086543,0.0005384599,0.0820129,0.0009265618,0.031305116,0.030931395,0.00014546339,0.0075209215,0.008100237,0.012973097,0.009666144,0.0014049743,0.00031413444,0.001882831,0.002778374,0.0006433109,0.005981844
0,6,classical,0.0027271304,0.012891253,0.03717647,0.040261924,0.013773675,0.021637801,0.022163298,0.06005766,0.010320947,0.0074627623,0.019709723,0.016728256,0.0020022667,0.024916852,0.01613995,0.005693301,0.037710212,0.051227264,0.0241596,0.010410048,0.0008955781,0.041098498,0.010662552,0.0011271551,0.0050841863,0.0015910653,0.080512494,0.00016135229,0.008914753,0.012049845,0.047991686,0.03420185,0.021199895,0.01843251,0.03893784,0.028073948,0.009564705,0.00975096,0.0016531826,0.01749815,0.0006206852,0.085017435,0.004005017,0.037676554,0.040773444,0.000851555,0.0069710007,0.01684163,0.010155306,0.00886827,0.0019299542,0.0016841078,0.0007586914,0.0055056047,0.0047169724,0.03354327
0,7,classical,0.0064134644,0.011084772,0.007952953,0.010085735,0.001530007,0.00400097,0.0010551598,0.0074669668,0.0025447179,0.0070427423,0.0043656845,0.030762702,0.00789962,0.010878294,0.004016282,0.0055529363,0.027212642,0.010953976,0.06647876,0.015636845,0.0017326114,0.037383877,0.005865708,0.0031498773,0.007968717,0.0030264203,0.023821868,0.0023591344,0.001168596,0.001905284,0.009073437,0.02128541,0.0036883277,0.0034009926,0.045289233,0.0039390125,0.007790301,0.0011317924,0.0053318613,0.0039317287,0.0047206944,0.012292556,0.006080262,0.008195967,0.008652906,0.0009866778,0.0023976204,0.0024238753,0.010030295,0.011849044,0.010285703,0.0049905404,0.0015069363,0.0020562059,0.004371471,0.0068304148
0,8,classical,0.0012938504,0.0056879213,0.021929927,0.031062642,0.0064890566,0.023238873,0.0030658045,0.008454553,0.0069888746,0.013981456,0.013702998,0.024107061,0.025967391,0.01408486,0.0041423356,0.0020227865,0.028321132,0.019717045,0.047514856,0.0027217877,0.0011198903,0.015201479,0.008370493,0.0051474655,0.005824304,0.005156672,0.06974819,0.0006676313,0.001924179,0.0077550807,0.023232235,0.04495993,0.009762736,0.010494532,0.047072336,0.01630901,0.0049119084,0.0030937,0.0053605265,0.014172918,0.0010875143,0.043156095,0.0038150994,0.021557841,0.02132006,0.0028785917,0.005144875,0.015095482,0.0081736185,0.007628127,0.0060214126,0.017940812,0.00020920818,0.0043137865,0.0076197493,0.023429718
0,9,classical,0.010179527,0.017990258,0.018741038,0.0230949,0.004348744,0.018736744,0.004237881,0.01825091,0.0046755364,0.010215471,0.008178014,0.049388148,0.007960756,0.029935818,0.016931692,0.009717874,0.04784151,0.03748021,0.029917808,0.027276648,0.0015738022,0.06970637,0.0037687765,0.0015457387,0.006888241,0.0020700986,0.019844627,0.00063301745,0.002781434,0.0042843963,0.01997527,0.0221648,0.015940957,0.008475455,0.041821912,0.0092997,0.018205075,0.008713077,0.0029258595,0.004931834,0.0015715372,0.0605415,0.006583959,0.023965219,0.02023266,0.001261157,0.018129833,0.009388194,0.022549378,0.024491288,0.0044718026,0.0029743297,0.0029703558,0.0052834484,0.0026764087,0.008889985
0,10,classical,0.0005630924,0.0031017119,0.0147612,0.03368064,0.007276883,0.009892365,0.0022841797,0.007200261,0.0067195315,0.01066476,0.01513623,0.008762381,0.005451327,0.0070241666,0.0014841359,0.0012652109,0.0136916395,0.01218936,0.04219454,0.0012321209,0.0006204599,0.0063614636,0.01074783,0.0028196964,0.0033757489,0.0021630474,0.09972336,0.00035493323,0.0012397794,0.0066680904,0.026855385,0.03903195,0.004103675,0.009210619,0.0359299,0.019815132,0.0022521387,0.0016981338,0.0031406225,0.01890905,0.00087467645,0.021494558,0.001283377,0.018997347,0.014266174,0.0009824577,0.00097058475,0.009670599,0.0028089562,0.0027285784,0.005502,0.00514215,6.966764e-05,0.002847733,0.0078378245,0.02246423
